size_D,duration_D,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,effort_D,app_0,app_1,app_2,app_3,app_4,har_0,har_1,har_2,har_3,har_4,dba_1,dba_2,dba_3,ifc_0,ifc_1,source_0,source_1,telonuse_0,telonuse_1,nlan_1,nlan_2,nlan_3,nlan_4
562,14,5,3,3,2,3,4,4,4,3,3,2,4,3,5,3,1062,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0
647,16,4,3,5,3,3,3,4,5,4,5,4,4,4,4,5,7871,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
130,5,2,3,3,3,3,3,2,2,4,3,4,4,4,4,4,845,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
254,8,3,3,2,3,3,4,2,3,4,5,4,3,2,3,3,2330,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
1056,16,2,2,4,2,2,1,3,5,4,4,5,4,3,2,3,21272,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
383,12,3,3,3,4,3,3,4,3,4,4,3,4,5,4,4,4224,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
345,12,2,3,3,3,3,3,2,2,4,4,4,4,4,5,4,2826,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
209,27,4,3,5,4,3,2,3,5,5,5,3,4,4,2,3,7320,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
366,24,2,3,3,2,2,2,4,5,4,3,3,3,3,2,3,9125,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
1181,54,4,3,3,2,1,2,4,5,3,2,2,2,3,4,2,11900,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
