TeamExp,ManagerExp,YearEnd,Length,Transactions,Entities,PointsAdjust,Envergure,PointsNonAjust,Langage,Effort
1.0,4.0,85.0,12.0,253.0,52.0,305.0,34.0,302.0,1.0,5152.0
0.0,0.0,86.0,4.0,197.0,124.0,321.0,33.0,315.0,1.0,5635.0
4.0,4.0,85.0,1.0,40.0,60.0,100.0,18.0,83.0,1.0,805.0
0.0,0.0,86.0,5.0,200.0,119.0,319.0,30.0,303.0,1.0,3829.0
0.0,0.0,86.0,4.0,140.0,94.0,234.0,24.0,208.0,1.0,2149.0
0.0,0.0,86.0,4.0,97.0,89.0,186.0,38.0,192.0,1.0,2821.0
2.0,1.0,85.0,9.0,119.0,42.0,161.0,25.0,145.0,2.0,2569.0
1.0,2.0,83.0,13.0,186.0,52.0,238.0,25.0,214.0,1.0,3913.0
3.0,1.0,85.0,12.0,172.0,88.0,260.0,30.0,247.0,1.0,7854.0
3.0,4.0,83.0,4.0,78.0,38.0,116.0,24.0,103.0,1.0,2422.0
4.0,1.0,84.0,21.0,167.0,99.0,266.0,24.0,237.0,1.0,4067.0
2.0,1.0,84.0,17.0,146.0,112.0,258.0,40.0,271.0,1.0,9051.0
1.0,1.0,84.0,3.0,33.0,72.0,105.0,19.0,88.0,1.0,2282.0
3.0,4.0,85.0,8.0,162.0,61.0,223.0,32.0,216.0,1.0,4172.0
4.0,4.0,85.0,9.0,223.0,121.0,344.0,28.0,320.0,1.0,4977.0
3.0,2.0,85.0,8.0,119.0,48.0,167.0,26.0,152.0,2.0,1617.0
4.0,3.0,85.0,8.0,57.0,43.0,100.0,43.0,108.0,1.0,3192.0
4.0,4.0,86.0,14.0,68.0,316.0,384.0,20.0,326.0,2.0,3437.0
3.0,4.0,87.0,14.0,9.0,386.0,395.0,21.0,340.0,2.0,4494.0
4.0,2.0,86.0,5.0,58.0,34.0,92.0,29.0,86.0,1.0,840.0
4.0,4.0,86.0,12.0,318.0,269.0,587.0,34.0,581.0,2.0,14973.0
2.0,4.0,85.0,18.0,88.0,170.0,258.0,34.0,255.0,1.0,5180.0
2.0,4.0,86.0,5.0,306.0,132.0,438.0,37.0,447.0,1.0,5775.0
4.0,1.0,87.0,20.0,304.0,78.0,382.0,39.0,397.0,1.0,10577.0
1.0,4.0,86.0,8.0,89.0,200.0,289.0,33.0,283.0,1.0,3983.0
4.0,1.0,85.0,14.0,86.0,230.0,316.0,33.0,310.0,1.0,3164.0
2.0,0.0,86.0,6.0,71.0,235.0,306.0,37.0,312.0,1.0,3542.0
3.0,1.0,85.0,14.0,148.0,324.0,472.0,39.0,491.0,1.0,4277.0
4.0,4.0,85.0,16.0,116.0,170.0,286.0,27.0,263.0,1.0,7252.0
4.0,1.0,85.0,14.0,175.0,277.0,452.0,37.0,461.0,1.0,3948.0
4.0,3.0,86.0,6.0,79.0,128.0,207.0,27.0,190.0,1.0,3927.0
1.0,1.0,86.0,9.0,145.0,38.0,183.0,27.0,168.0,3.0,710.0
4.0,4.0,87.0,9.0,174.0,78.0,252.0,41.0,267.0,3.0,2429.0
1.0,1.0,85.0,5.0,194.0,91.0,285.0,35.0,285.0,1.0,6405.0
2.0,2.0,88.0,3.0,126.0,49.0,175.0,38.0,180.0,3.0,651.0
1.0,3.0,86.0,17.0,137.0,119.0,256.0,34.0,253.0,2.0,9135.0
2.0,4.0,87.0,11.0,289.0,88.0,377.0,28.0,351.0,3.0,1435.0
2.0,3.0,87.0,8.0,260.0,144.0,404.0,24.0,360.0,1.0,5922.0
1.0,4.0,88.0,4.0,158.0,59.0,217.0,18.0,180.0,3.0,847.0
3.0,3.0,88.0,16.0,302.0,145.0,447.0,52.0,523.0,2.0,8050.0
1.0,1.0,87.0,9.0,451.0,48.0,499.0,28.0,464.0,1.0,4620.0
2.0,4.0,87.0,34.0,661.0,132.0,793.0,23.0,698.0,3.0,2352.0
1.0,1.0,88.0,10.0,64.0,54.0,118.0,25.0,106.0,1.0,2174.0
3.0,4.0,86.0,39.0,284.0,230.0,514.0,50.0,591.0,1.0,19894.0
2.0,1.0,86.0,18.0,182.0,126.0,308.0,35.0,308.0,1.0,6699.0
2.0,3.0,87.0,27.0,173.0,332.0,505.0,19.0,424.0,1.0,14987.0
2.0,2.0,88.0,9.0,252.0,7.0,259.0,28.0,241.0,1.0,4004.0
4.0,3.0,85.0,11.0,131.0,180.0,311.0,51.0,361.0,1.0,12824.0
2.0,3.0,85.0,8.0,106.0,39.0,145.0,6.0,103.0,1.0,2331.0
3.0,3.0,85.0,9.0,96.0,108.0,204.0,29.0,192.0,1.0,5817.0
2.0,3.0,85.0,7.0,116.0,72.0,188.0,18.0,156.0,1.0,2989.0
3.0,3.0,85.0,6.0,86.0,49.0,135.0,32.0,131.0,1.0,3136.0
2.0,3.0,85.0,17.0,221.0,121.0,342.0,35.0,342.0,1.0,14434.0
1.0,1.0,87.0,12.0,61.0,96.0,157.0,18.0,130.0,1.0,2583.0
1.0,3.0,86.0,12.0,132.0,89.0,221.0,5.0,155.0,2.0,3647.0
3.0,7.0,86.0,13.0,45.0,387.0,432.0,16.0,350.0,2.0,8232.0
1.0,1.0,86.0,12.0,55.0,112.0,167.0,12.0,129.0,2.0,3276.0
1.0,4.0,87.0,8.0,124.0,52.0,176.0,14.0,139.0,2.0,2723.0
3.0,3.0,87.0,5.0,120.0,126.0,246.0,15.0,197.0,2.0,3472.0
1.0,2.0,87.0,6.0,47.0,32.0,79.0,14.0,62.0,2.0,1575.0
1.0,1.0,86.0,12.0,126.0,107.0,233.0,23.0,205.0,2.0,2926.0
3.0,2.0,86.0,6.0,101.0,45.0,146.0,15.0,117.0,2.0,1876.0
1.0,1.0,86.0,5.0,78.0,99.0,177.0,14.0,140.0,1.0,2520.0
4.0,7.0,86.0,13.0,69.0,74.0,143.0,14.0,113.0,1.0,1603.0
1.0,3.0,86.0,8.0,194.0,97.0,291.0,35.0,291.0,2.0,3626.0
2.0,3.0,87.0,10.0,224.0,110.0,334.0,28.0,311.0,2.0,6783.0
2.0,4.0,87.0,15.0,323.0,184.0,507.0,35.0,507.0,2.0,11361.0
1.0,3.0,86.0,10.0,42.0,31.0,73.0,27.0,67.0,2.0,1267.0
1.0,2.0,87.0,5.0,74.0,43.0,117.0,25.0,105.0,2.0,2548.0
3.0,4.0,87.0,10.0,101.0,57.0,158.0,9.0,117.0,2.0,1155.0
0.0,4.0,86.0,6.0,97.0,42.0,139.0,6.0,99.0,3.0,546.0
2.0,3.0,84.0,13.0,134.0,77.0,211.0,13.0,165.0,2.0,2275.0
4.0,5.0,86.0,26.0,482.0,227.0,709.0,26.0,645.0,2.0,9100.0
